층,팀 이름,유저 이름,직업,DPS,RDPS,DPS 관련 링크,시간
2층,KATZE,Nia Aznable,Samurai,"14,500.3","13,963.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=89,9:03
2층,KATZE,Tori Highwind,Monk,"14,000.3","14,034.1",https://www.fflogs.com/zone/rankings/29#boss=66&page=88,9:03
2층,KATZE,Iishi Machi,Bard,"12,753.1","12,853.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=83,9:03
2층,KATZE,Sayla Nyass,RedMage,"11,372.4","11,964.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=86,9:03
2층,KATZE,Matsuri Sasakure,Paladin,"8,375.3","8,068.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=81,9:03
2층,KATZE,June Oaks,Warrior,"8,225.6","7,968.4",https://www.fflogs.com/zone/rankings/29#boss=66&page=84,9:03
2층,KATZE,Runa Malaguld,WhiteMage,"6,539.9","6,429.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=87,9:03
2층,KATZE,Mithil Beilschmidt,Scholar,"5,461.1","5,945.9",https://www.fflogs.com/zone/rankings/29#boss=66&page=85,9:03
2층,KATZE,Limit Break,LimitBreak,"1,033.8","1,033.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=820,9:03
2층,Friendship and Sandwiches,Seras Victoria,Dragoon,"14,214.2","14,435.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=810,9:03
2층,Friendship and Sandwiches,Saellas Popo,BlackMage,"13,242.0","12,993.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=88,9:03
2층,Friendship and Sandwiches,Nanami Himeno,Monk,"13,150.3","13,079.1",https://www.fflogs.com/zone/rankings/29#boss=66&page=83,9:03
2층,Friendship and Sandwiches,Pika Loo,Bard,"13,082.8","13,248.9",https://www.fflogs.com/zone/rankings/29#boss=66&page=89,9:03
2층,Friendship and Sandwiches,Nisus Ronfaure,Gunbreaker,"7,731.1","7,448.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=87,9:03
2층,Friendship and Sandwiches,Infinite Paradox,Paladin,"7,361.2","7,141.1",https://www.fflogs.com/zone/rankings/29#boss=66&page=84,9:03
2층,Friendship and Sandwiches,Snakku Pakku,WhiteMage,"6,690.7","6,556.4",https://www.fflogs.com/zone/rankings/29#boss=66&page=85,9:03
2층,Friendship and Sandwiches,Run Ez,Scholar,"5,750.4","6,319.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=86,9:03
