층,팀 이름,유저 이름,직업,DPS,RDPS,DPS 관련 링크,시간
2층,Pire Prog EU,Kata'l Biald,Monk,"13,896.5","12,839.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=1145,9:18
2층,Pire Prog EU,Fidjika Shizuyo,BlackMage,"13,844.1","13,530.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=112,9:18
2층,Pire Prog EU,Senel Inertia,Dragoon,"13,463.8","13,669.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=114,9:18
2층,Pire Prog EU,Otshi Shaliel,Dancer,"9,794.8","11,208.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=116,9:18
2층,Pire Prog EU,Y'lex Acerola,Paladin,"7,896.3","7,640.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=119,9:18
2층,Pire Prog EU,Yuri Nakamura,Warrior,"7,688.1","7,481.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=118,9:18
2층,Pire Prog EU,Stacy Monster,Scholar,"6,365.4","6,787.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=113,9:18
2층,Pire Prog EU,Elekias Ci'ri,WhiteMage,"6,352.8","6,146.1",https://www.fflogs.com/zone/rankings/29#boss=66&page=115,9:18
2층,Pire Prog EU,Limit Break,LimitBreak,689.0,689.0,https://www.fflogs.com/zone/rankings/29#boss=66&page=1119,9:18
2층,MonkaHmm,Cress Albain,Samurai,"13,637.7","13,212.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=112,9:18
2층,MonkaHmm,Lewi Scifo,Dragoon,"13,617.6","13,912.4",https://www.fflogs.com/zone/rankings/29#boss=66&page=1110,9:18
2층,MonkaHmm,Vio Mitsuko,Bard,"13,316.1","13,534.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=119,9:18
2층,MonkaHmm,Ice Jelly,BlackMage,"11,179.6","10,894.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=1112,9:18
2층,MonkaHmm,Esperance Lightbound,Warrior,"7,647.2","7,588.6",https://www.fflogs.com/zone/rankings/29#boss=66&page=115,9:18
2층,MonkaHmm,Precia Silentdeath,WhiteMage,"7,273.3","7,109.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=118,9:18
2층,MonkaHmm,Y'noctu Soken,Paladin,"6,964.9","6,809.6",https://www.fflogs.com/zone/rankings/29#boss=66&page=1111,9:18
2층,MonkaHmm,Mathiu Silverberg,Scholar,"5,334.7","5,909.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=117,9:18
2층,MonkaHmm,Limit Break,LimitBreak,"1,018.0","1,018.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=1122,9:18
2층,Sleigh Beggy Solace,Hyacintha Ss,Samurai,"17,431.8","14,917.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=115,9:18
2층,Sleigh Beggy Solace,Minami Suzaki,Dragoon,"14,434.8","14,376.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=119,9:18
2층,Sleigh Beggy Solace,Stephamenas Ss,Dancer,"11,164.1","12,636.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=114,9:18
2층,Sleigh Beggy Solace,Celrius Helisian,RedMage,"10,669.6","11,015.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=118,9:18
2층,Sleigh Beggy Solace,L'erisia Vessalius,Paladin,"8,135.9","7,849.9",https://www.fflogs.com/zone/rankings/29#boss=66&page=116,9:18
2층,Sleigh Beggy Solace,Xeno Blackheart,Gunbreaker,"7,102.6","6,783.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=112,9:18
