층,팀 이름,유저 이름,직업,DPS,RDPS,DPS 관련 링크,시간
2,ShimaNeko Company,German Ninja,Monk,"15,100.2","13,872.6",https://www.fflogs.com/zone/rankings/29#boss=66&page=368,10:14
2,ShimaNeko Company,Canele Lyce,Dragoon,"12,777.9","12,892.4",https://www.fflogs.com/zone/rankings/29#boss=66&page=365,10:14
2,ShimaNeko Company,Garasan Hououin,Bard,"11,044.0","11,105.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=369,10:14
2,ShimaNeko Company,Arutida Aruru,Dancer,"9,450.2","10,931.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=367,10:14
2,ShimaNeko Company,Lynx Mynx,Warrior,"7,534.7","7,321.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=361,10:14
2,ShimaNeko Company,Sala Sala,Gunbreaker,"7,352.9","6,962.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=363,10:14
2,ShimaNeko Company,Neko Caffee,Scholar,"4,394.4","4,694.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=362,10:14
2,ShimaNeko Company,Mana Blanc,WhiteMage,"4,068.6","3,943.1",https://www.fflogs.com/zone/rankings/29#boss=66&page=366,10:14
2,ShimaNeko Company,Limit Break,LimitBreak,979.3,979.3,https://www.fflogs.com/zone/rankings/29#boss=66&page=3620,10:14
2,Cup Noodles,Cromlets Greywolfe,Machinist,"13,078.8","12,427.4",https://www.fflogs.com/zone/rankings/29#boss=66&page=366,10:14
2,Cup Noodles,Matt Kha,Samurai,"11,989.1","11,495.9",https://www.fflogs.com/zone/rankings/29#boss=66&page=36289,10:14
2,Cup Noodles,Hiiory Saito,Summoner,"11,361.9","11,294.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=36286,10:14
2,Cup Noodles,Meirst Blackwater,Ninja,"10,966.6","11,876.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=36288,10:14
2,Cup Noodles,Izzy Stone,Paladin,"8,254.6","8,038.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=36290,10:14
2,Cup Noodles,Jayquelin Rivers,Warrior,"7,395.9","7,165.4",https://www.fflogs.com/zone/rankings/29#boss=66&page=36285,10:14
2,Cup Noodles,Cybell Serennu,Astrologian,"4,789.2","5,642.9",https://www.fflogs.com/zone/rankings/29#boss=66&page=36282,10:14
2,Cup Noodles,Vaseline Starburst,WhiteMage,"3,973.6","3,869.6",https://www.fflogs.com/zone/rankings/29#boss=66&page=36291,10:14
2,Cup Noodles,Limit Break,LimitBreak,882.3,882.3,https://www.fflogs.com/zone/rankings/29#boss=66&page=3623,10:14
2,Cup Noodles,Ground Effect,LimitBreak,6.1,6.1,https://www.fflogs.com/zone/rankings/29#boss=66&page=367,10:14
2,Balamb Garden,Chicken Wangz,Samurai,"13,379.9","12,025.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=362,10:14
2,Balamb Garden,Veyer Fenrun,Machinist,"12,269.4","12,023.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=3616,10:14
2,Balamb Garden,Mr Banana,Bard,"10,716.0","10,933.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=3625,10:14
2,Balamb Garden,Kaseidy Maey,Dancer,"9,268.2","10,758.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=361,10:14
2,Balamb Garden,Rikku Komori,Warrior,"7,507.0","7,387.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=3620,10:14
2,Balamb Garden,Blaze Sin,Paladin,"7,482.3","7,288.4",https://www.fflogs.com/zone/rankings/29#boss=66&page=3622,10:14
2,Balamb Garden,Yukino Kano,WhiteMage,"6,098.8","5,958.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=3624,10:14
2,Balamb Garden,Kio Sin,Scholar,"4,905.9","5,253.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=3621,10:14
2,Balamb Garden,Limit Break,LimitBreak,"1,068.3","1,068.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=3614,10:14
2,Carry the Fallen,Pepe Hands,Monk,"15,079.8","13,717.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=367,10:14
2,Carry the Fallen,Red Champ,Dragoon,"11,979.7","12,156.4",https://www.fflogs.com/zone/rankings/29#boss=66&page=365,10:14
2,Carry the Fallen,Passionate Nathan,Summoner,"10,401.4","10,504.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=366,10:14
2,Carry the Fallen,Jello Cupcake,Dancer,"9,775.3","11,190.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=361,10:14
2,Carry the Fallen,Trox Solitas,Paladin,"7,672.7","7,404.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=362,10:14
2,Carry the Fallen,Hot Pie,DarkKnight,"6,939.5","6,664.9",https://www.fflogs.com/zone/rankings/29#boss=66&page=363,10:14
2,Carry the Fallen,Norn Afah,WhiteMage,"5,211.5","5,022.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=364,10:14
2,Carry the Fallen,Dakota Johnson,Scholar,"4,572.8","4,971.9",https://www.fflogs.com/zone/rankings/29#boss=66&page=369,10:14
2,Carry the Fallen,Limit Break,LimitBreak,"1,055.7","1,055.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=3624,10:14
2,Carry the Fallen,Ground Effect,LimitBreak,4.3,4.3,https://www.fflogs.com/zone/rankings/29#boss=66&page=3615,10:14
2,Black Market,Lakiya Ganajai,Dragoon,"13,126.1","12,289.9",https://www.fflogs.com/zone/rankings/29#boss=66&page=368,10:14
2,Black Market,Meli Soulstriker,Monk,"12,258.3","12,115.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=367,10:14
2,Black Market,Aaren Reiman,Summoner,"11,772.1","11,870.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=3612,10:14
2,Black Market,Julio Maximus,Dancer,"10,146.0","11,404.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=365,10:14
2,Black Market,Ashira Setsuna,DarkKnight,"7,647.3","7,388.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=3615,10:14
2,Black Market,Ralze Armicus,Paladin,"7,471.0","7,186.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=369,10:14
2,Black Market,Mao Akiyama,WhiteMage,"4,717.8","4,618.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=362,10:14
2,Black Market,Jake Reiman,Scholar,"4,689.6","4,953.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=3610,10:14
2,Black Market,Limit Break,LimitBreak,863.5,863.5,https://www.fflogs.com/zone/rankings/29#boss=66&page=3627,10:14
2,Neko Koneko,Mimori Mugicha,Monk,"15,717.1","14,155.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=366,10:14
2,Neko Koneko,Lancer Lot,RedMage,"12,746.0","12,600.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=364,10:14
2,Neko Koneko,Shiro Shiki,Bard,"11,804.9","11,677.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=363,10:14
2,Neko Koneko,Raenyx Miraelya,Dancer,"9,085.4","10,387.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=368,10:14
2,Neko Koneko,Daniel Depotato,Paladin,"6,558.1","6,269.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=365,10:14
2,Neko Koneko,Menma Ghost,DarkKnight,"6,476.4","6,153.6",https://www.fflogs.com/zone/rankings/29#boss=66&page=367,10:14
2,Neko Koneko,Yukino Kirisaki,Scholar,"5,291.1","5,611.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=361,10:14
2,Neko Koneko,White Signet,Astrologian,"4,137.5","4,961.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=369,10:14
2,Neko Koneko,Limit Break,LimitBreak,874.5,874.5,https://www.fflogs.com/zone/rankings/29#boss=66&page=3622,10:14
2,Sparkle12ct Diamonds,Matcha Pan,Dragoon,"13,374.3","12,495.1",https://www.fflogs.com/zone/rankings/29#boss=66&page=368,10:14
2,Sparkle12ct Diamonds,Kii Est,Bard,"11,842.9","11,993.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=36394,10:14
2,Sparkle12ct Diamonds,Kuon Akatsuki,Summoner,"10,686.2","10,629.6",https://www.fflogs.com/zone/rankings/29#boss=66&page=36391,10:14
2,Sparkle12ct Diamonds,Mikumo Stella,Dancer,"9,006.9","10,233.6",https://www.fflogs.com/zone/rankings/29#boss=66&page=36390,10:14
2,Sparkle12ct Diamonds,Mieuseloir Eisenberg,Gunbreaker,"7,969.1","7,651.4",https://www.fflogs.com/zone/rankings/29#boss=66&page=36410,10:14
2,Sparkle12ct Diamonds,Gustav Heidegger,Paladin,"7,870.5","7,606.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=36417,10:14
2,Sparkle12ct Diamonds,Yuu Browne,Scholar,"5,822.4","6,121.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=36388,10:14
2,Sparkle12ct Diamonds,David Silva,WhiteMage,"4,993.1","4,835.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=36418,10:14
2,Sparkle12ct Diamonds,Limit Break,LimitBreak,"1,120.9","1,120.9",https://www.fflogs.com/zone/rankings/29#boss=66&page=36404,10:14
2,Garlean Military,Kirika Terashita,BlackMage,"13,498.6","13,185.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=366,10:14
2,Garlean Military,Springfield Es,Samurai,"13,486.7","12,911.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=365,10:14
2,Garlean Military,Dkm Ayaka,Monk,"12,748.0","12,687.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=364,10:14
2,Garlean Military,Gaia Erkaya,Bard,"11,130.0","11,281.6",https://www.fflogs.com/zone/rankings/29#boss=66&page=369,10:14
2,Garlean Military,Lan Shino,Gunbreaker,"7,632.1","7,311.6",https://www.fflogs.com/zone/rankings/29#boss=66&page=363,10:14
2,Garlean Military,Kurogawa Sora,Paladin,"6,520.6","6,284.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=361,10:14
2,Garlean Military,Merina Airi,Scholar,"3,940.3","4,375.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=3610,10:14
2,Garlean Military,Teanight Egg,Astrologian,"2,295.7","3,215.1",https://www.fflogs.com/zone/rankings/29#boss=66&page=368,10:14
2,Garlean Military,Limit Break,LimitBreak,"1,424.5","1,424.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=3621,10:14
