층,팀 이름,유저 이름,직업,DPS,RDPS,DPS 관련 링크,시간
1층,Proggers,Courtier Blue,Dragoon,"11,298.4","11,421.7",https://www.fflogs.com/zone/rankings/29#boss=65&page=207,8:44
1층,Proggers,Yara Saltcliffe,BlackMage,"10,458.6","10,077.4",https://www.fflogs.com/zone/rankings/29#boss=65&page=208,8:44
1층,Proggers,Hershy Yusha,Bard,"9,662.9","9,807.0",https://www.fflogs.com/zone/rankings/29#boss=65&page=205,8:44
1층,Proggers,Hapa Muffin,Ninja,"9,084.3","9,733.4",https://www.fflogs.com/zone/rankings/29#boss=65&page=204,8:44
1층,Proggers,Deselisk Zelha,Paladin,"6,463.9","6,243.9",https://www.fflogs.com/zone/rankings/29#boss=65&page=201,8:44
1층,Proggers,Raiku Aegisguard,Gunbreaker,"6,232.5","5,835.0",https://www.fflogs.com/zone/rankings/29#boss=65&page=203,8:44
1층,Proggers,Beddy Tear,WhiteMage,"5,491.5","5,322.0",https://www.fflogs.com/zone/rankings/29#boss=65&page=209,8:44
1층,Proggers,Falsetto Forte,Scholar,"5,187.9","5,439.6",https://www.fflogs.com/zone/rankings/29#boss=65&page=206,8:44
1층,Proggers,Limit Break,LimitBreak,"1,006.8","1,006.8",https://www.fflogs.com/zone/rankings/29#boss=65&page=2021,8:44
1층,Muskel Gruppe,Nanase A',Monk,"12,282.1","11,151.9",https://www.fflogs.com/zone/rankings/29#boss=65&page=207,8:44
1층,Muskel Gruppe,Ringo Pie,Dragoon,"11,596.2","11,547.6",https://www.fflogs.com/zone/rankings/29#boss=65&page=204,8:44
1층,Muskel Gruppe,Chiyo Sakuria,Summoner,"11,192.7","11,054.0",https://www.fflogs.com/zone/rankings/29#boss=65&page=2018,8:44
1층,Muskel Gruppe,Yui Kawasumi,Dancer,"8,248.9","9,299.3",https://www.fflogs.com/zone/rankings/29#boss=65&page=208,8:44
1층,Muskel Gruppe,Pechka Cei,DarkKnight,"7,137.5","6,817.6",https://www.fflogs.com/zone/rankings/29#boss=65&page=201,8:44
1층,Muskel Gruppe,Alvin Naghat,Paladin,"6,996.4","6,734.3",https://www.fflogs.com/zone/rankings/29#boss=65&page=203,8:44
1층,Muskel Gruppe,Chocolat Millefeuille,WhiteMage,"4,242.7","4,085.6",https://www.fflogs.com/zone/rankings/29#boss=65&page=205,8:44
1층,Muskel Gruppe,Yunan Ozbell,Astrologian,"3,010.3","4,016.5",https://www.fflogs.com/zone/rankings/29#boss=65&page=2010,8:44
1층,Shooting Stars,Jayce Promptor,Dragoon,"10,921.3","10,385.8",https://www.fflogs.com/zone/rankings/29#boss=65&page=207,8:44
1층,Shooting Stars,Mahiwa Ishiku,Machinist,"10,270.8","9,863.4",https://www.fflogs.com/zone/rankings/29#boss=65&page=205,8:44
1층,Shooting Stars,Toki Jackpot,Monk,"9,723.7","9,870.9",https://www.fflogs.com/zone/rankings/29#boss=65&page=206,8:44
