층,직업,DPS,RDPS,시간
2층,BlackMage,"15,528.8","15,184.5",7:41
2층,Dragoon,"15,034.7","15,356.0",7:41
2층,Monk,"14,716.5","14,687.2",7:41
2층,Bard,"13,832.2","14,102.5",7:41
2층,WhiteMage,"9,673.7","9,500.7",7:41
2층,Paladin,"9,442.8","9,193.9",7:41
2층,DarkKnight,"9,311.1","8,932.6",7:41
2층,Scholar,"7,940.5","8,522.8",7:41
2층,BlackMage,"17,383.5","16,506.2",7:45
2층,Monk,"16,300.4","15,957.1",7:45
2층,Dragoon,"14,925.9","14,948.9",7:45
2층,Bard,"13,385.1","13,532.9",7:45
2층,DarkKnight,"8,889.6","8,513.2",7:45
2층,Gunbreaker,"8,675.9","8,230.2",7:45
2층,Scholar,"8,042.9","8,583.9",7:45
2층,Astrologian,"7,139.2","8,470.1",7:45
2층,Dragoon,"16,745.7","15,567.7",7:48
2층,BlackMage,"16,322.1","15,379.3",7:48
2층,Samurai,"15,334.9","14,433.2",7:48
2층,Dancer,"11,835.5","13,685.8",7:48
2층,Gunbreaker,"9,463.1","9,023.8",7:48
2층,Paladin,"9,005.3","8,679.1",7:48
2층,Scholar,"8,264.2","8,848.7",7:48
2층,Astrologian,"7,109.0","8,462.2",7:48
2층,Monk,"15,095.4","14,936.8",7:48
2층,Dragoon,"15,071.0","15,384.2",7:48
2층,Summoner,"14,244.8","14,289.7",7:48
2층,Bard,"13,548.9","13,907.5",7:48
2층,Gunbreaker,"9,438.8","8,885.6",7:48
2층,Paladin,"9,240.4","8,892.7",7:48
2층,WhiteMage,"9,169.7","8,881.2",7:48
2층,Scholar,"8,412.0","9,043.3",7:48
2층,BlackMage,"15,477.1","15,262.9",7:50
2층,Monk,"15,358.3","15,413.1",7:50
2층,Machinist,"14,359.1","13,935.0",7:50
2층,Dragoon,"14,221.1","14,797.2",7:50
2층,Paladin,"9,243.8","8,987.9",7:50
2층,DarkKnight,"8,954.4","8,692.0",7:50
2층,WhiteMage,"8,881.2","8,780.1",7:50
2층,Scholar,"7,296.3","7,923.1",7:50
2층,Monk,"15,486.4","15,522.9",7:53
2층,BlackMage,"15,011.1","14,751.9",7:53
2층,Dragoon,"14,884.3","15,264.2",7:53
2층,Bard,"13,283.7","13,618.7",7:53
2층,Gunbreaker,"9,204.8","8,783.1",7:53
2층,WhiteMage,"9,148.6","8,910.6",7:53
2층,Warrior,"8,495.3","8,329.6",7:53
2층,Scholar,"7,722.5","8,055.6",7:53
2층,BlackMage,"16,004.2","15,756.3",7:53
2층,Monk,"14,880.9","15,061.6",7:53
2층,Dragoon,"14,416.0","14,796.8",7:53
2층,Machinist,"14,137.0","13,811.0",7:53
2층,Gunbreaker,"8,829.2","8,504.8",7:53
2층,WhiteMage,"8,608.0","8,497.0",7:53
2층,Warrior,"8,357.2","8,195.0",7:53
2층,Scholar,"7,890.5","8,500.5",7:53
2층,BlackMage,"16,134.1","15,792.1",7:54
2층,Monk,"15,327.0","15,228.5",7:54
2층,Dragoon,"14,375.3","14,732.4",7:54
2층,Bard,"13,551.6","13,928.9",7:54
2층,WhiteMage,"8,877.6","8,628.1",7:54
2층,Paladin,"8,735.6","8,488.9",7:54
2층,DarkKnight,"8,483.7","8,146.6",7:54
2층,Scholar,"7,342.5","7,882.0",7:54
2층,BlackMage,"16,039.1","15,489.9",7:54
2층,Monk,"15,498.0","15,179.0",7:54
2층,Dragoon,"15,077.3","15,214.1",7:54
2층,Bard,"12,931.7","13,105.7",7:54
2층,Gunbreaker,"9,263.9","8,789.9",7:54
2층,WhiteMage,"9,161.3","8,957.4",7:54
2층,Warrior,"8,387.3","8,151.3",7:54
2층,Astrologian,"6,578.7","8,050.0",7:54
2층,BlackMage,"16,410.6","15,605.3",7:57
2층,Monk,"15,807.9","15,292.4",7:57
2층,Dragoon,"14,757.6","14,746.1",7:57
2층,Bard,"13,761.4","13,882.1",7:57
2층,DarkKnight,"9,034.6","8,617.5",7:57
2층,Paladin,"8,471.9","8,150.6",7:57
2층,Scholar,"7,877.9","8,255.0",7:57
2층,Astrologian,"6,380.6","7,953.5",7:57
2층,BlackMage,"15,763.0","15,485.8",7:57
2층,Monk,"15,169.0","15,194.2",7:57
2층,Dragoon,"15,101.4","15,425.6",7:57
2층,Bard,"13,687.6","13,939.8",7:57
2층,Gunbreaker,"9,259.9","8,847.0",7:57
2층,Paladin,"8,836.0","8,571.6",7:57
2층,WhiteMage,"7,940.3","7,744.8",7:57
2층,Scholar,"7,805.2","8,353.7",7:57
2층,Dragoon,"16,275.4","15,465.6",7:58
2층,BlackMage,"14,415.7","13,995.9",7:58
2층,Summoner,"14,079.8","14,152.3",7:58
2층,Dancer,"12,425.6","13,963.1",7:58
2층,Paladin,"9,472.4","9,133.8",7:58
2층,WhiteMage,"9,259.0","8,934.1",7:58
2층,Warrior,"9,105.6","8,897.3",7:58
2층,Scholar,"8,421.8","8,913.1",7:58
2층,Monk,"16,968.9","15,570.5",7:59
2층,BlackMage,"14,828.1","14,420.3",7:59
2층,Dragoon,"14,563.3","14,953.7",7:59
2층,Dancer,"11,739.0","13,573.9",7:59
2층,Gunbreaker,"9,212.6","8,789.6",7:59
2층,WhiteMage,"9,176.1","8,948.3",7:59
2층,DarkKnight,"8,878.5","8,547.1",7:59
2층,Scholar,"6,626.3","7,189.6",7:59
2층,BlackMage,"17,604.5","15,512.8",7:59
2층,Monk,"15,942.8","15,385.2",7:59
2층,Dragoon,"15,302.2","15,364.1",7:59
2층,Dancer,"11,747.1","13,374.5",7:59
2층,Paladin,"8,851.7","8,463.8",7:59
2층,Gunbreaker,"8,666.9","8,218.5",7:59
2층,Scholar,"7,854.8","8,238.0",7:59
2층,Astrologian,"7,168.2","8,581.4",7:59
2층,Monk,"17,029.4","15,438.7",8:01
2층,BlackMage,"14,715.2","14,318.4",8:01
2층,Dragoon,"14,529.8","14,933.5",8:01
2층,Dancer,"11,072.5","12,896.9",8:01
2층,WhiteMage,"9,543.4","9,346.5",8:01
2층,DarkKnight,"8,433.6","8,130.3",8:01
2층,Paladin,"8,239.5","7,972.4",8:01
2층,Scholar,"8,134.3","8,661.2",8:01
2층,Monk,"14,849.1","15,072.5",8:02
2층,BlackMage,"14,781.3","14,620.9",8:02
2층,Dragoon,"14,558.5","14,914.7",8:02
2층,Machinist,"14,141.1","13,754.0",8:02
2층,Paladin,"8,828.2","8,659.9",8:02
2층,Gunbreaker,"8,292.9","8,024.3",8:02
2층,WhiteMage,"8,263.3","8,104.4",8:02
2층,Scholar,"7,615.7","8,179.4",8:02
2층,BlackMage,"15,700.3","15,430.4",8:02
2층,Monk,"14,674.8","14,947.2",8:02
2층,Dragoon,"14,137.0","14,555.2",8:02
2층,Machinist,"14,039.7","13,714.5",8:02
2층,Gunbreaker,"8,925.1","8,549.7",8:02
2층,WhiteMage,"8,743.5","8,621.1",8:02
2층,Paladin,"8,369.0","8,185.8",8:02
2층,Scholar,"6,797.2","7,382.6",8:02
2층,BlackMage,"17,366.9","15,432.7",8:03
2층,Dragoon,"14,448.8","14,741.6",8:03
2층,RedMage,"13,403.3","13,712.1",8:03
2층,Dancer,"11,873.6","13,658.5",8:03
2층,Paladin,"9,145.2","8,791.9",8:03
2층,WhiteMage,"8,691.1","8,484.7",8:03
2층,DarkKnight,"8,503.0","8,063.9",8:03
2층,Scholar,"7,873.0","8,419.6",8:03
2층,BlackMage,"15,536.8","15,221.3",8:04
2층,Samurai,"14,795.2","14,546.0",8:04
2층,Dragoon,"14,286.9","14,759.5",8:04
2층,Machinist,"13,578.7","13,387.8",8:04
2층,Paladin,"9,067.1","8,945.9",8:04
2층,Warrior,"8,538.8","8,491.9",8:04
2층,WhiteMage,"8,228.9","8,126.8",8:04
2층,Scholar,"6,969.5","7,522.6",8:04
2층,Monk,"16,168.9","15,945.6",8:05
2층,Dragoon,"14,283.0","14,455.5",8:05
2층,RedMage,"13,540.1","14,012.2",8:05
2층,Bard,"13,514.0","13,519.7",8:05
2층,Paladin,"8,819.9","8,538.4",8:05
2층,Gunbreaker,"8,743.9","8,191.4",8:05
2층,WhiteMage,"8,575.1","8,488.6",8:05
2층,Scholar,"7,222.6","7,716.2",8:05
2층,BlackMage,"17,181.8","15,423.5",8:05
2층,Dragoon,"15,049.3","15,383.5",8:05
2층,Monk,"13,256.2","13,256.5",8:05
2층,Dancer,"11,811.9","13,524.0",8:05
2층,Gunbreaker,"9,023.1","8,651.1",8:05
