층,유저 이름,직업
1층,Petite Poutine,BlackMage
1층,Megadank Memester,Monk
1층,Soviet Hammer,Dragoon
1층,Nox Aero,Bard
1층,Legacy I',WhiteMage
1층,Nahira Vae,DarkKnight
1층,Inpending Death,Paladin
1층,Citalune Moon,Scholar
1층,Lenor Fragrance,Monk
1층,Sanyon Xenon,Summoner
1층,Rise Areadbhar,Dragoon
1층,Shasha Pony,Bard
1층,Kupo Aliapoh,WhiteMage
1층,Ikki Aincrad,Paladin
1층,Peroro Pororo,Gunbreaker
1층,Mar'one Javelin,Scholar
1층,Ryzo Legend,Samurai
1층,Kaori Miu,BlackMage
1층,Slay Bun,Dragoon
1층,Limit Less,Dancer
1층,Ahri Kagerou,Gunbreaker
1층,Lunesca Hunter,Paladin
1층,Yunah Ffx,Scholar
1층,Lumina Inimii,Astrologian
1층,Tatzu Uzumaki,Samurai
1층,Cecilia Miller,Summoner
1층,Kaizo I',Dragoon
1층,Sur Moon,Bard
1층,Rin Navi,WhiteMage
1층,Xeifer Hawkeye,DarkKnight
1층,Auron Haze,Paladin
1층,Yuni Azure,Scholar
1층,Taco Teurastaja,BlackMage
1층,Aka Chan,Dragoon
1층,Aruha Dakwhil,Monk
1층,Aeryll Magickx,Machinist
1층,Nyanako Nyanyanya,WhiteMage
1층,Gae Opsam,Paladin
1층,Ginko Vaseduva,Gunbreaker
1층,Silvia Lockhart,Scholar
1층,Dafina Ora,BlackMage
1층,Thailurr Hotdog,Monk
1층,Xanther Zolka,Dragoon
1층,Zevo Vai,Bard
1층,Momo Sama,WhiteMage
1층,Rin Tin,WhiteMage
1층,Violent Destruction,DarkKnight
1층,Silver Falkor,Paladin
1층,Katerina Deveraux,BlackMage
1층,Buzzy Bounce,Monk
1층,Duro Ru',Dancer
1층,Plzcarryme Senpai,Gunbreaker
1층,Tautu E'tu,Paladin
1층,Sora Belle,Astrologian
1층,Feiryn Luensa,BlackMage
1층,Lumber Break,Dragoon
1층,Miranda Seseau,Bard
1층,Naiah Amari,WhiteMage
1층,Sasha Arkwright,Paladin
1층,Zargabaath Galleon,DarkKnight
1층,Kareth Crestfall,Scholar
1층,Tsutsumi Tsumi,BlackMage
1층,Celsius Skye,Monk
1층,Hime Nononoo,Dragoon
1층,Gaaldriana Asanov,Bard
1층,Momofi Mofi,Paladin
1층,Lilya Wynter,Warrior
1층,Diah'li Sotavhi,Scholar
1층,Puchi Mi,Astrologian
1층,Elene Kenjin,Monk
1층,Battle Litany,BlackMage
1층,Alkaid Kuramoto,Dragoon
1층,Yami Yukihime,Dancer
1층,Aunwae Kilath,WhiteMage
1층,Lena Redhardt,DarkKnight
1층,Yosh Bosh,Gunbreaker
1층,Sullus Redran,Scholar
1층,Yud Tnb,Monk
1층,Me Asshe,BlackMage
1층,Quwrof Wrlccywrlfr,Dragoon
1층,Ayks Fell,Bard
1층,Jun Sharooon,Gunbreaker
1층,Shannon Hartley,WhiteMage
1층,Spark Design,Paladin
1층,Lucky Ri,Scholar
1층,Aix Len,Monk
1층,Tomada Rin,BlackMage
1층,Eve Moneypenny,Dragoon
1층,Kururu Kureru,Dancer
1층,Soren Bjerg,WhiteMage
1층,Oiraha Bii,Gunbreaker
1층,Arsest Hong,DarkKnight
1층,Noah Liddell,Scholar
1층,Darwen Ixthania,BlackMage
1층,Myst Vearn,Monk
1층,Windy Soul,Dragoon
1층,Recca Honoo,Bard
1층,Narr Locke,WhiteMage
1층,Shoot'the Girl'first,Gunbreaker
1층,Tsm Bandit,Paladin
1층,Taako From-tv,Astrologian
1층,Evaine Tempest,Dragoon
1층,Bronchy Saurus,Summoner
1층,Jasy Heavensong,BlackMage
1층,Ice Noctuna,Dancer
1층,Riko Heavenstep,Warrior
1층,Amelia Wafflesmack,WhiteMage
1층,Liah Mei,Scholar
1층,Lanaya Tea,Machinist
1층,Best Bear,Monk
1층,Nagi Chan,Samurai
1층,Sukuna Hikona,RedMage
1층,Prize Patrol,DarkKnight
1층,Zeke Estheim,WhiteMage
1층,Dye Proto,Gunbreaker
1층,Desh Kalindrenos,Scholar
1층,Shadow Senkou,BlackMage
1층,Zelda Aran,Dragoon
1층,Tarrich Olmrest,Monk
1층,Kyami Yarhu,Machinist
1층,Valentina Valei,WhiteMage
1층,Atma Arcturus,Paladin
1층,Jago Bah,Warrior
1층,Sylvi Renee,Scholar
1층,Kyp Halcyon,BlackMage
1층,Ryythe Larke,Monk
1층,Elmindreda Far'shaw,Dragoon
1층,Jaeger Meister,Bard
1층,Ayleth Heldt,WhiteMage
1층,Paprika Rika,DarkKnight
1층,Goshu Tsukinoe,Paladin
1층,Mikoto Misaka,Scholar
1층,Norvie Meraldor,Monk
1층,Fox Dyo,Bard
1층,Shinso Allium,Paladin
1층,Yaze Kuroichi,Gunbreaker
1층,Styxxe Wright,Scholar
1층,Miuna Matsui,Astrologian
1층,Sang Sang,Monk
1층,Luciana Wolf,BlackMage
1층,Coyote Blue,Dragoon
1층,Artemis Roze,Dancer
1층,Kachi Mikana,Gunbreaker
1층,Nekono Onnanoko,Scholar
1층,Doogie Howser,Paladin
1층,Aydan Jinh,Astrologian
1층,Thrusty Bagladeur,Monk
1층,Not Zero,Dragoon
1층,Spence Stragos,Summoner
1층,Sera Skyefall,Dancer
1층,Iris Etesia,DarkKnight
1층,Ira Salohi,Paladin
1층,Rae Nhal,WhiteMage
1층,Savvy Shines,Scholar
1층,Azusa Kyrielight,BlackMage
1층,Celestia Krosis,Monk
1층,Finroy Finory,Dragoon
1층,Brendino Qt,Machinist
1층,Elise Li,WhiteMage
1층,Lakoda Li,Warrior
1층,Dank Maymay,Gunbreaker
1층,Anastacia Pyre,Scholar
1층,Bomber Man,Monk
1층,Kashima Shinano,Dragoon
1층,Clapstar Tayuun,Bard
1층,Sinister Cain,Summoner
1층,Daoko Tsukinose,Gunbreaker
1층,Yujin Diamond,Paladin
1층,Sariba Yoko,WhiteMage
1층,Shizuka Ogawa,Scholar
1층,Lisa Armstrong,BlackMage
1층,Pino Maru''ovo'',Monk
1층,Exa Flare,Dragoon
1층,Liz Lawine,Machinist
1층,Anubis Laplace,DarkKnight
1층,Eil Sea,WhiteMage
1층,Lechat Noir,Paladin
1층,Luke Forest,Scholar
1층,Jin Woo,Monk
1층,Mama Cat,Dragoon
1층,Aeryn Hellfire,Bard
1층,Jabe Black,Gunbreaker
1층,Siph Erous,Paladin
1층,Toasty Rage,WhiteMage
1층,Reggie Rage,Scholar
1층,Stellar Radiance,Monk
1층,Hide Aoi,Dragoon
1층,Sophia Maple,Bard
1층,Saku Ran,RedMage
1층,Papyopu Ammy,Gunbreaker
1층,Mt Fuji,WhiteMage
1층,Momoco Poche,DarkKnight
1층,Tete Ponzu,Scholar
1층,Seci Mittrei,Monk
1층,K'falkh Yggdrasil,Dragoon
1층,Ari Nuovo,RedMage
1층,Nitras Leafsong,Dancer
1층,Brutzli Ilphelkiir,DarkKnight
1층,Ar'telan Qin,Paladin
1층,Snoopy Edin,Scholar
1층,Aria Tombetoile,Astrologian
1층,Laqi Thish,BlackMage
1층,Auri Moonlight,Monk
1층,Aelius Lophia,Dragoon
1층,Ellatrix Reatori,Dancer
1층,Sakima Artorian,Gunbreaker
1층,Bokchoy Mcnuggets,Paladin
1층,Chet Mix,WhiteMage
1층,Ishtar Freege,Scholar
1층,Yu On,Monk
1층,Kyorakun Shunsui,Dragoon
1층,Myon Miya,BlackMage
1층,Ignis Silicia,Bard
1층,Buko Sonai,WhiteMage
1층,Hystie Kurone,DarkKnight
1층,Zheph Zaeora,Paladin
1층,Teddylue Cloudie,Scholar
1층,Alyx Flaire,Dragoon
1층,Avaritia Rake,Monk
1층,Hiretsuna Surai,Machinist
1층,Keo Haru,RedMage
1층,Baltimoor Al'thanne,Gunbreaker
1층,Pantsu Yespls,Paladin
1층,Fflogs Chad,Scholar
1층,Balance Sama,Astrologian
1층,Sand Strider,Monk
1층,Zorii Kappa,BlackMage
1층,Kenny Kelly,Dragoon
1층,Sax Alchemisty,Bard
1층,Obi-wan Kenobi,WhiteMage
1층,Nihal Moonchaser,Scholar
1층,Centric Flow,DarkKnight
1층,Mikaito Lanric,Dragoon
1층,Chaotic Zero,Summoner
1층,Akiru Reinheart,Dancer
1층,Lynx Kameli,Warrior
1층,Luthrix Straiya,Gunbreaker
1층,Nellana Maethor,Scholar
1층,Doctor Vivi,Astrologian
1층,Hak Matic,Monk
1층,Clees Wheatbuns,Dragoon
