층,유저 이름,직업
4층,Petite Poutine,BlackMage
4층,Megadank Memester,Monk
4층,Soviet Hammer,Dragoon
4층,Nox Aero,Bard
4층,Nahira Vae,DarkKnight
4층,Inpending Death,Paladin
4층,Legacy I',WhiteMage
4층,Citalune Moon,Scholar
4층,Syuryu Sylvania,BlackMage
4층,Xepher Nivelungen,Monk
4층,Kuintia Purple,Dragoon
4층,Papico Dx,Bard
4층,Azu Karomix,Paladin
4층,Azcat Suketarou,DarkKnight
4층,Aisha Kinoko,WhiteMage
4층,Hiroro Moon,Scholar
4층,Alphys Yuubelle,BlackMage
4층,Winnie Pooh,Monk
4층,Xiu Ye,Dragoon
4층,Rai Nagisei,Dancer
4층,Lavis Magana,Paladin
4층,Martin Whitehall,Warrior
4층,Lola Dragonsbane',WhiteMage
4층,Deus Virtu,Scholar
4층,Me Asshe,BlackMage
4층,Yud Tnb,Monk
4층,Quwrof Wrlccywrlfr,Dragoon
4층,Ayks Fell,Bard
4층,Jun Sharooon,DarkKnight
4층,Shannon Hartley,WhiteMage
4층,Spark Design,Paladin
4층,Lucky Ri,Scholar
4층,Haruto Amata,Monk
4층,Lacea Lloyd,Dragoon
4층,Stella Savvy,Bard
4층,Abura Soba,RedMage
4층,Broccoli Sangoku,Paladin
4층,Lin Schwarzer,Gunbreaker
4층,Hoshizora Nitouhei,WhiteMage
4층,M'ono Ripple,Scholar
4층,Sea Jay,Monk
4층,Aero Matic,Dragoon
4층,Mmmmmmmmmmmmmmm Mmmmm,Bard
4층,Sara Loni,RedMage
4층,Koemi Summers,Warrior
4층,Udra Virias,Paladin
4층,Dee Colon,WhiteMage
4층,Mimiwa Miwa,Scholar
4층,Azusa Kyrielight,BlackMage
4층,Celestia Krosis,Monk
4층,Finroy Finory,Dragoon
4층,Brendino Qt,Machinist
4층,Dank Maymay,Gunbreaker
4층,Lakoda Li,Warrior
4층,Elise Li,WhiteMage
4층,Anastacia Pyre,Scholar
4층,Chou Chou,BlackMage
4층,Vali Seidhr,Dragoon
4층,S'loria Lionward,Monk
4층,Rien Doll,Bard
4층,Rin Karigani,Gunbreaker
4층,Cuz Artt,Paladin
4층,Canaan Artt,WhiteMage
4층,Tenshii Seidhr,Scholar
4층,Aruha Dakwhil,Monk
4층,Taco Teurastaja,BlackMage
4층,Aka Chan,Dragoon
4층,Aeryll Magickx,Machinist
4층,Gae Opsam,Paladin
4층,Ginko Vaseduva,Warrior
4층,Nyanako Nyanyanya,WhiteMage
4층,Silvia Lockhart,Scholar
4층,Nagi Chan,Samurai
4층,Best Bear,Monk
4층,Lanaya Tea,Machinist
