층,팀 이름,유저 이름,직업,DPS,RDPS,DPS 관련 링크,시간
3,Fairy Tail's,Pants Haters,Samurai,"12,527.7","11,980.9",https://www.fflogs.com/zone/rankings/29#boss=67&page=264,10:47
3,Fairy Tail's,Senpou Kyzer,Dragoon,"12,115.7","12,524.7",https://www.fflogs.com/zone/rankings/29#boss=67&page=263,10:47
3,Fairy Tail's,Futss Mihi,Summoner,"11,233.4","11,298.9",https://www.fflogs.com/zone/rankings/29#boss=67&page=268,10:47
3,Fairy Tail's,Poor Guy,Bard,"10,334.4","10,471.4",https://www.fflogs.com/zone/rankings/29#boss=67&page=26172,10:47
3,Fairy Tail's,Abysss Walker,Warrior,"7,402.8","7,274.5",https://www.fflogs.com/zone/rankings/29#boss=67&page=266,10:47
3,Fairy Tail's,Kadrym Toman,WhiteMage,"7,332.9","7,109.6",https://www.fflogs.com/zone/rankings/29#boss=67&page=261,10:47
3,Fairy Tail's,Cidolfus Orlandu,Paladin,"6,733.0","6,560.3",https://www.fflogs.com/zone/rankings/29#boss=67&page=265,10:47
3,Fairy Tail's,Lady Nessworth,Scholar,"4,853.5","5,313.0",https://www.fflogs.com/zone/rankings/29#boss=67&page=262,10:47
3,Fairy Tail's,Limit Break,LimitBreak,808.1,808.1,https://www.fflogs.com/zone/rankings/29#boss=67&page=2623,10:47
3,Beginner's luck,Yumeto Akakiri,Monk,"12,236.7","12,375.5",https://www.fflogs.com/zone/rankings/29#boss=67&page=2638,10:47
3,Beginner's luck,Sheela Alistair,Samurai,"12,032.8","11,760.8",https://www.fflogs.com/zone/rankings/29#boss=67&page=2639,10:47
3,Beginner's luck,Betch Chan,BlackMage,"11,936.6","11,754.3",https://www.fflogs.com/zone/rankings/29#boss=67&page=2637,10:47
3,Beginner's luck,Rosenburg Engel',Bard,"11,666.0","11,999.3",https://www.fflogs.com/zone/rankings/29#boss=67&page=263,10:47
3,Beginner's luck,Ji Mon,Gunbreaker,"7,448.6","7,245.7",https://www.fflogs.com/zone/rankings/29#boss=67&page=2641,10:47
3,Beginner's luck,Tanya Lativia,DarkKnight,"7,447.8","7,260.9",https://www.fflogs.com/zone/rankings/29#boss=67&page=2640,10:47
3,Beginner's luck,Eri Classy,Scholar,"4,850.9","5,321.1",https://www.fflogs.com/zone/rankings/29#boss=67&page=2642,10:47
3,Beginner's luck,Rosso Vino,WhiteMage,"4,696.8","4,598.7",https://www.fflogs.com/zone/rankings/29#boss=67&page=2644,10:47
3,Beginner's luck,Limit Break,LimitBreak,"1,013.7","1,013.7",https://www.fflogs.com/zone/rankings/29#boss=67&page=2618,10:47
3,dogma live broadcast,Mizuto Abura,Bard,"12,958.1","12,051.0",https://www.fflogs.com/zone/rankings/29#boss=67&page=265,10:47
3,dogma live broadcast,Chou Thisis,Monk,"11,982.1","11,929.4",https://www.fflogs.com/zone/rankings/29#boss=67&page=269,10:47
3,dogma live broadcast,Marl Mevius,Dragoon,"11,703.0","11,869.2",https://www.fflogs.com/zone/rankings/29#boss=67&page=264,10:47
3,dogma live broadcast,Treadier Elfier,Dancer,"9,708.8","10,960.7",https://www.fflogs.com/zone/rankings/29#boss=67&page=263,10:47
3,dogma live broadcast,Rafeel Nei,DarkKnight,"7,129.0","6,833.8",https://www.fflogs.com/zone/rankings/29#boss=67&page=266,10:47
3,dogma live broadcast,Emperor Iwama,Warrior,"6,592.7","6,364.2",https://www.fflogs.com/zone/rankings/29#boss=67&page=268,10:47
3,dogma live broadcast,Yukinko Kyouju,WhiteMage,"6,551.4","6,335.0",https://www.fflogs.com/zone/rankings/29#boss=67&page=267,10:47
3,dogma live broadcast,Crayola Sunrise,Scholar,"5,687.2","5,969.0",https://www.fflogs.com/zone/rankings/29#boss=67&page=261,10:47
3,dogma live broadcast,Limit Break,LimitBreak,"1,051.3","1,051.3",https://www.fflogs.com/zone/rankings/29#boss=67&page=2618,10:47
3,The Unity,Jdog Gan,BlackMage,"12,718.7","12,427.2",https://www.fflogs.com/zone/rankings/29#boss=67&page=266,10:47
3,The Unity,Aki Azai,Samurai,"12,548.2","11,860.6",https://www.fflogs.com/zone/rankings/29#boss=67&page=268,10:47
3,The Unity,Kerrigan Ragnarok,Bard,"11,429.9","11,559.5",https://www.fflogs.com/zone/rankings/29#boss=67&page=267,10:47
3,The Unity,Max Ultima,RedMage,"10,853.7","11,203.5",https://www.fflogs.com/zone/rankings/29#boss=67&page=265,10:47
3,The Unity,Krjm Sol,Paladin,"7,622.3","7,426.8",https://www.fflogs.com/zone/rankings/29#boss=67&page=264,10:47
3,The Unity,Mersilina Emerisielle,Warrior,"7,400.6","7,180.2",https://www.fflogs.com/zone/rankings/29#boss=67&page=261,10:47
3,The Unity,Jinx Kat,WhiteMage,"5,763.1","5,635.8",https://www.fflogs.com/zone/rankings/29#boss=67&page=262,10:47
3,The Unity,Bee Bumble,Astrologian,"3,980.1","5,023.2",https://www.fflogs.com/zone/rankings/29#boss=67&page=263,10:47
3,The Unity,Limit Break,LimitBreak,"1,016.8","1,016.8",https://www.fflogs.com/zone/rankings/29#boss=67&page=2616,10:47
3,"Fite me, bite me",Braev Biskit,Machinist,"12,809.4","12,026.8",https://www.fflogs.com/zone/rankings/29#boss=67&page=26683,10:47
